Employee_ID,Attrition_rate
EID_22784,0.178
EID_10756,0.166
EID_6854,0.198
EID_12554,0.178
EID_1162,0.183
EID_19581,0.189
EID_2169,0.254
EID_25149,0.198
EID_22575,0.186
EID_2265,0.188
EID_19668,0.183
EID_19245,0.205
EID_8194,0.198
EID_8081,0.242
EID_8670,0.175
EID_7992,0.206
EID_6596,0.19
EID_3699,0.178
EID_9698,0.193
EID_1847,0.245
EID_16179,0.208
EID_23663,0.159
EID_24287,0.2
EID_3527,0.151
EID_18652,0.182
EID_24110,0.175
EID_21419,0.193
EID_12865,0.179
EID_9237,0.184
EID_20408,0.198
EID_22934,0.181
EID_6492,0.189
EID_20285,0.198
EID_1286,0.213
EID_12542,0.168
EID_5523,0.217
EID_1979,0.171
EID_23146,0.201
EID_4773,0.174
EID_8785,0.196
EID_4463,0.229
EID_24028,0.177
EID_20920,0.161
EID_21392,0.201
EID_4079,0.149
EID_5173,0.189
EID_22915,0.178
EID_18347,0.22
EID_7984,0.231
EID_25148,0.173
EID_4350,0.245
EID_6909,0.18
EID_10582,0.175
EID_6248,0.177
EID_10035,0.254
EID_24603,0.223
EID_1794,0.216
EID_9407,0.21
EID_2114,0.162
EID_21125,0.21
EID_15046,0.204
EID_8058,0.2
EID_1961,0.151
EID_23324,0.197
EID_21521,0.225
EID_11043,0.255
EID_6461,0.238
EID_10398,0.197
EID_20635,0.194
EID_22940,0.212
EID_8582,0.21
EID_12770,0.165
EID_15982,0.2
EID_19692,0.214
EID_18304,0.25
EID_13603,0.177
EID_6145,0.194
EID_16587,0.155
EID_16835,0.227
EID_8399,0.187
EID_7012,0.168
EID_20575,0.192
EID_20747,0.182
EID_3907,0.198
EID_22626,0.226
EID_4442,0.19
EID_18034,0.178
EID_16055,0.149
EID_21684,0.179
EID_17499,0.191
EID_1222,0.163
EID_17204,0.197
EID_22732,0.198
EID_8539,0.282
EID_23136,0.202
EID_24470,0.229
EID_17404,0.181
EID_21498,0.178
EID_19495,0.19
EID_23966,0.159
EID_1388,0.167
EID_7374,0.195
EID_25441,0.206
EID_16616,0.206
EID_7654,0.188
EID_4217,0.138
EID_9968,0.198
EID_17830,0.163
EID_12023,0.189
EID_24002,0.162
EID_11371,0.18
EID_11096,0.173
EID_24835,0.226
EID_17439,0.17
EID_6587,0.222
EID_21946,0.199
EID_5431,0.186
EID_4723,0.167
EID_11535,0.214
EID_2330,0.179
EID_23531,0.187
EID_8913,0.177
EID_21273,0.21
EID_11927,0.165
EID_1385,0.192
EID_15758,0.176
EID_1023,0.158
EID_8959,0.181
EID_12911,0.172
EID_15925,0.179
EID_17769,0.188
EID_19842,0.204
EID_15875,0.196
EID_21284,0.193
EID_24825,0.197
EID_23825,0.196
EID_13001,0.208
EID_25601,0.189
EID_24670,0.195
EID_24412,0.225
EID_18712,0.17
EID_21138,0.216
EID_19335,0.186
EID_16753,0.171
EID_24399,0.199
EID_12567,0.177
EID_22161,0.157
EID_12609,0.194
EID_22249,0.208
EID_5314,0.236
EID_1897,0.199
EID_22507,0.242
EID_2878,0.174
EID_10098,0.164
EID_18435,0.291
EID_8063,0.213
EID_3512,0.192
EID_24444,0.193
EID_9813,0.182
EID_25132,0.156
EID_5613,0.183
EID_14062,0.196
EID_20073,0.206
EID_12506,0.16
EID_1092,0.305
EID_15895,0.172
EID_1039,0.174
EID_22016,0.227
EID_6764,0.203
EID_17384,0.207
EID_8705,0.231
EID_14832,0.226
EID_16473,0.199
EID_11186,0.198
EID_7476,0.189
EID_19671,0.203
EID_14001,0.167
EID_10658,0.217
EID_6668,0.184
EID_13786,0.182
EID_11224,0.201
EID_13296,0.215
EID_22145,0.167
EID_6494,0.208
EID_1649,0.17
EID_20878,0.194
EID_3790,0.173
EID_9257,0.212
EID_14917,0.173
EID_22052,0.224
EID_1198,0.159
EID_8478,0.185
EID_2071,0.207
EID_1250,0.152
EID_9000,0.171
EID_17319,0.242
EID_21794,0.17
EID_23350,0.21
EID_16278,0.17
EID_3330,0.16
EID_12584,0.189
EID_9354,0.234
EID_15007,0.199
EID_11656,0.175
EID_22526,0.143
EID_11027,0.177
EID_21588,0.181
EID_13717,0.14
EID_8073,0.2
EID_15972,0.198
EID_5730,0.16
EID_23968,0.177
EID_4299,0.175
EID_6302,0.212
EID_6974,0.173
EID_4829,0.257
EID_21139,0.174
EID_23456,0.192
EID_20110,0.153
EID_20342,0.176
EID_15238,0.186
EID_10349,0.212
EID_10077,0.177
EID_22330,0.137
EID_4368,0.188
EID_8859,0.19
EID_24277,0.185
EID_1061,0.221
EID_5597,0.14
EID_4820,0.193
EID_5863,0.2
EID_23680,0.198
EID_5542,0.15
EID_6203,0.167
EID_5355,0.227
EID_19669,0.206
EID_21725,0.186
EID_2138,0.206
EID_24278,0.183
EID_6591,0.183
EID_21056,0.179
EID_18759,0.234
EID_12059,0.206
EID_11077,0.2
EID_17216,0.238
EID_15655,0.167
EID_19017,0.161
EID_17846,0.183
EID_6418,0.183
EID_25942,0.206
EID_5420,0.215
EID_11764,0.187
EID_16483,0.212
EID_1901,0.175
EID_21480,0.199
EID_8006,0.227
EID_1282,0.201
EID_6895,0.166
EID_13677,0.184
EID_6071,0.251
EID_14425,0.194
EID_22685,0.203
EID_20203,0.185
EID_19161,0.193
EID_1947,0.14
EID_16574,0.174
EID_2561,0.184
EID_20668,0.19
EID_7831,0.218
EID_8769,0.153
EID_25191,0.224
EID_15590,0.192
EID_12458,0.188
EID_11406,0.166
EID_17629,0.218
EID_4632,0.172
EID_18455,0.156
EID_23077,0.181
EID_25024,0.169
EID_6269,0.211
EID_12100,0.162
EID_23190,0.193
EID_9030,0.184
EID_12359,0.172
EID_12041,0.183
EID_2019,0.15
EID_22974,0.138
EID_10351,0.176
EID_23630,0.189
EID_7309,0.179
EID_19821,0.192
EID_4033,0.175
EID_3435,0.182
EID_5759,0.171
EID_12826,0.189
EID_8148,0.217
EID_16088,0.161
EID_15783,0.181
EID_19521,0.209
EID_13016,0.167
EID_13708,0.197
EID_4237,0.189
EID_3620,0.212
EID_10042,0.2
EID_8833,0.151
EID_21028,0.173
EID_3485,0.195
EID_23372,0.161
EID_19410,0.19
EID_6598,0.176
EID_25371,0.174
EID_19483,0.178
EID_22826,0.183
EID_23606,0.194
EID_9346,0.188
EID_1608,0.172
EID_1603,0.202
EID_23041,0.218
EID_7801,0.201
EID_22456,0.219
EID_24428,0.175
EID_10811,0.22
EID_24566,0.192
EID_2531,0.15
EID_10878,0.17
EID_19548,0.188
EID_11988,0.191
EID_11378,0.217
EID_9896,0.197
EID_17323,0.197
EID_24976,0.228
EID_11249,0.174
EID_20395,0.186
EID_18262,0.159
EID_14670,0.187
EID_12880,0.173
EID_1406,0.185
EID_23014,0.194
EID_5224,0.187
EID_3232,0.177
EID_22327,0.19
EID_2285,0.177
EID_20468,0.184
EID_4443,0.161
EID_15641,0.191
EID_8106,0.194
EID_13958,0.181
EID_10214,0.238
EID_17739,0.152
EID_13347,0.234
EID_23453,0.178
EID_1477,0.202
EID_20224,0.147
EID_2362,0.194
EID_21421,0.206
EID_7860,0.191
EID_10286,0.216
EID_7184,0.182
EID_21742,0.185
EID_21610,0.174
EID_19375,0.21
EID_18564,0.219
EID_19108,0.197
EID_17928,0.192
EID_25613,0.198
EID_23787,0.169
EID_2392,0.221
EID_7574,0.202
EID_9810,0.193
EID_14332,0.195
EID_20937,0.206
EID_7827,0.189
EID_7457,0.184
EID_11152,0.197
EID_12917,0.175
EID_18590,0.272
EID_15327,0.192
EID_11687,0.173
EID_5179,0.142
EID_5623,0.213
EID_25331,0.213
EID_24386,0.182
EID_6507,0.228
EID_7842,0.147
EID_12018,0.184
EID_6640,0.225
EID_9872,0.193
EID_2331,0.22
EID_19685,0.161
EID_25701,0.201
EID_25681,0.203
EID_20151,0.187
EID_8980,0.204
EID_12719,0.187
EID_20075,0.192
EID_14984,0.237
EID_8177,0.195
EID_1360,0.235
EID_24812,0.225
EID_8480,0.171
EID_14567,0.185
EID_16194,0.205
EID_10020,0.238
EID_7321,0.208
EID_15387,0.195
EID_19419,0.182
EID_20496,0.202
EID_1308,0.163
EID_14770,0.175
EID_21893,0.225
EID_10990,0.201
EID_17521,0.202
EID_15274,0.179
EID_24001,0.194
EID_4111,0.229
EID_4284,0.156
EID_19682,0.21
EID_14871,0.183
EID_18152,0.174
EID_12520,0.248
EID_4739,0.187
EID_8424,0.188
EID_23600,0.195
EID_25891,0.199
EID_11618,0.19
EID_12674,0.194
EID_5999,0.201
EID_18063,0.194
EID_14859,0.196
EID_20353,0.176
EID_22962,0.194
EID_19650,0.185
EID_6108,0.186
EID_19012,0.265
EID_22925,0.237
EID_15619,0.188
EID_19998,0.172
EID_20052,0.208
EID_25044,0.174
EID_5422,0.18
EID_15354,0.217
EID_3804,0.175
EID_23277,0.185
EID_12336,0.19
EID_24839,0.179
EID_1651,0.197
EID_24355,0.187
EID_24276,0.177
EID_10346,0.145
EID_9579,0.171
EID_23242,0.184
EID_23541,0.23
EID_14741,0.159
EID_7783,0.174
EID_12569,0.186
EID_3834,0.15
EID_6799,0.205
EID_15609,0.185
EID_5496,0.192
EID_5080,0.192
EID_14834,0.225
EID_18266,0.198
EID_1182,0.144
EID_6445,0.182
EID_18656,0.269
EID_24011,0.195
EID_25093,0.185
EID_11334,0.164
EID_15785,0.196
EID_8060,0.185
EID_4349,0.154
EID_22525,0.189
EID_1231,0.196
EID_2127,0.163
EID_4047,0.168
EID_12989,0.179
EID_17726,0.201
EID_1602,0.148
EID_5945,0.162
EID_15166,0.238
EID_25317,0.189
EID_18848,0.191
EID_14455,0.208
EID_9724,0.214
EID_22697,0.172
EID_16505,0.16
EID_11616,0.171
EID_10352,0.192
EID_24093,0.175
EID_11826,0.199
EID_24211,0.207
EID_14709,0.193
EID_18747,0.183
EID_16077,0.236
EID_15440,0.171
EID_4935,0.205
EID_13791,0.176
EID_16876,0.188
EID_1335,0.187
EID_19086,0.179
EID_12872,0.197
EID_11623,0.164
EID_7807,0.194
EID_9605,0.191
EID_12736,0.197
EID_20565,0.166
EID_17225,0.19
EID_19974,0.17
EID_16045,0.191
EID_2082,0.237
EID_22219,0.186
EID_19439,0.16
EID_2979,0.175
EID_24414,0.172
EID_15148,0.164
EID_10690,0.156
EID_16346,0.187
EID_22752,0.202
EID_21746,0.181
EID_1705,0.187
EID_7498,0.208
EID_6874,0.199
EID_4543,0.195
EID_8931,0.169
EID_16435,0.243
EID_16767,0.188
EID_3058,0.184
EID_16381,0.197
EID_17190,0.23
EID_7079,0.165
EID_10191,0.169
EID_1378,0.184
EID_20222,0.199
EID_6156,0.164
EID_5975,0.178
EID_18682,0.198
EID_8837,0.186
EID_24686,0.243
EID_9869,0.216
EID_14673,0.172
EID_14443,0.185
EID_21591,0.191
EID_25240,0.19
EID_18365,0.179
EID_9260,0.162
EID_10696,0.175
EID_18012,0.205
EID_17421,0.193
EID_23615,0.209
EID_14132,0.187
EID_13168,0.186
EID_16973,0.174
EID_13426,0.181
EID_1493,0.154
EID_3994,0.16
EID_10574,0.229
EID_12394,0.18
EID_4781,0.234
EID_24911,0.225
EID_3205,0.136
EID_25568,0.193
EID_4343,0.198
EID_4330,0.164
EID_12518,0.242
EID_18426,0.2
EID_3862,0.161
EID_13478,0.202
EID_5607,0.166
EID_22353,0.168
EID_18346,0.171
EID_5978,0.205
EID_3391,0.202
EID_8525,0.197
EID_5245,0.173
EID_11791,0.177
EID_22913,0.213
EID_15587,0.184
EID_4851,0.18
EID_3432,0.154
EID_13090,0.174
EID_15117,0.241
EID_22004,0.198
EID_16053,0.195
EID_16458,0.18
EID_8021,0.178
EID_24385,0.165
EID_7053,0.175
EID_13544,0.14
EID_9014,0.17
EID_9246,0.179
EID_15642,0.189
EID_12295,0.194
EID_7925,0.207
EID_18473,0.214
EID_19427,0.157
EID_17027,0.186
EID_22093,0.205
EID_25611,0.174
EID_20490,0.196
EID_4204,0.197
EID_2604,0.21
EID_16152,0.223
EID_8563,0.213
EID_18620,0.201
EID_11012,0.208
EID_19598,0.183
